Species,Bl_mm,Tl_mm,Wt_g,Bl_min,Bl_max,Tl_min,Tl_max,Wt_min,Wt_max,Bl_min_M,Bl_max_M,Bl_min_F,Bl_max_F,Tl_min_M,Tl_max_M,Tl_min_F,Tl_max_F,Wt_min_M,Wt_max_M,Wt_min_F,Wt_max_F,Bl_Av_M,Bl_Av_F,Tl_Av_M,Tl_Av_F,Wt_Av_M,Wt_Av_F,Locomotor_use,Clade
Petrogale_persephone,,,,,,,,,,492,633,526,603,564,709,515,660,4300,10200,3500,8100,,,,,,,Saltatorial,Macropod
Petrogale_purpureicollis,,,,,,,,,,389,609,465,552,488,580,445,538,3300,7100,2700,5700,532,497,534,474,5400,3600,Saltatorial,Macropod
Petrogale_rothschildi,,,,,,,,,,532,592,463,526,580,704,539,613,5000,6600,3700,5300,559,500,636,570,6100,4100,Saltatorial,Macropod
Petrogale_sharmani,,,,,,,,,,490,530,455,475,500,532,435,482,,,,,511,465,515,465,4400,4100,Saltatorial,Macropod
Petrogale_xanthopus,600,690,,480,650,570,700,6000,12000,,,,,,,,,,,,,,,,,,,Saltatorial,Macropod
Petropseudes_dahli,,,,,,,,1280,2000,334,375,349,385,200,220,207,266,,,,,,,,,,,Arboreal,Petauroid
Phalanger_mimicus,,,,350,400,280,350,1500,2200,,,,,,,,,,,,,,,,,,,Arboreal,Phalangeroid
Phascolarctos_cinereus,,,,,,,,,,674,820,648,730,,,,,4.2,14.9,4.1,11,743.5,701.5,,,9.25,6.8,Arboreal,Vombatiform
Potorous_gilbertii,,,,,,,,,,286,371,291,343,215,232,200,236,845,1200,710,1095,312,313,224,216,985,912,Saltatorial,Macropod
Potorous_longipes,400,320,,380,415,315,325,,,,,,,,,,,2000,2200,1600,1800,,,,,2100,1700,Saltatorial,Macropod
Potorous_tridactylus,,,,,,,,,,287,410,259,378,204,262,198,254,740,1640,660,1350,341,316,235,228,1180,1020,Saltatorial,Macropod
Potorous_platyops,243,183,,,,,,,,,,,,,,,,,,,,,,,,,,Saltatorial,Macropod
Pseudocheirus_occidentalis,,,,300,400,300,410,,,,,,,,,,,700,1300,750,1200,,,,,,,Arboreal,Petauroid
Pseudocheirus_peregrinus,,,,300,350,300,350,700,900,,,,,,,,,,,,,,,,,,,Arboreal,Petauroid
Pseudochirops_archeri,,,,,,,,,,324,400,324,403,305,355,300,356,910,1370,910,1555,358,367,328,323,1107,1214,Arboreal,Petauroid
Pseudochirulus_cinereus,,,,,,,,,,346,360,335,368,320,395,325,362,830,1450,700,1200,353,352,360,344,1092,908,Arboreal,Petauroid
Pseudochirulus_herbertensis,,,,,,,,,,350,400,301,376,360,470,335,410,810,1555,749,1230,370,344,377,363,1168,1053,Arboreal,Petauroid
Setonix_brachyurus,,,,,,,,,,430,540,390,500,250,310,235,285,2700,4200,1600,3500,,,,,,,Saltatorial,Macropod
Spilocuscus_maculatus,,,,348,580,310,435,1500,4900,,,,,,,,,,,,,,,,,,,Arboreal,Phalangeroid
Tarsipes_rostratus,,,,,,,,,,65,85,70,90,70,100,75,105,7,11,8,16,,,,,,,Arboreal,Petauroid
Thylogale_billardierii,,,,,,,,,,,,,,,,,,3800,12000,2400,10000,630,560,417,320,7000,3900,Pentapedal,Macropod
Thylogale_stigmatica,,,,,,,,,,470,536,386,520,372,473,301,445,3700,6800,2500,4200,492,463,443,357,5100,4100,Pentapedal,Macropod
Thylogale_thetis,,,,,,,,,,300,620,290,500,270,510,270,370,2500,9100,1800,4300,520,420,430,350,7000,3800,Pentapedal,Macropod
Trichosurus_caninus,,,,400,500,340,420,2500,4500,,,,,,,,,,,,,,,,,,,Arboreal,Phalangeroid
Trichosurus_cunninghami,516,350,3270,490,540,340,370,2600,4200,,,,,,,,,,,,,,,,,,,Arboreal,Phalangeroid
Trichosurus_vulpecula,,,,350,550,250,400,,,,,,,,,,,1300,4500,1200,3500,,,,,,,Arboreal,Phalangeroid
Vombatus_ursinus,985,25,26000,840,1150,,,22000,39000,,,,,,,,,,,,,,,,,,,Terrestrial,Vombatiform
Wallabia_bicolor,,,,,,,,,,723,847,665,750,690,862,640,728,12300,20500,10300,15400,756,697,761,692,17000,13000,Pentapedal,Macropod
Wyulda_squamicaudata,,300,,310,395,,,900,2000,,,,,,,,,,,,,,,,,,,Arboreal,Phalangeroid
Notoryctes_caurinus,,,,86,93,16,18,30,50,,,,,,,,,,,,,,,,,,,Terrestrial,Dasyuromorph
Notoryctes_typhlops,,,,69,115,13,24,40,70,,,,,,,,,,,,,,,,,,,Terrestrial,Dasyuromorph
Chaeropus_ecaudatus,,,200,230,260,100,150,,,,,,,,,,,,,,,,,,,,,Terrestrial,Peramelemorph
Echymipera_rufescens,,,,,,,,,,278,480,215,415,75,107,75,91,525,2225,300,1200,,,,,,,Terrestrial,Peramelemorph
Isoodon_auratus,245,105,,190,295,84,121,250,670,,,,,,,,,,,,,,,,,,,Terrestrial,Peramelemorph
Isoodon_macrourus,,,,,,,,,,300,470,300,410,90,215,80,185,500,3100,500,1700,400,350,170,130,2100,1100,Terrestrial,Peramelemorph
Isoodon_obesulus,,,,,,,,,,300,360,280,330,96,145,90,125,500,1850,400,1200,330,300,124,113,890,620,Terrestrial,Peramelemorph
Macrotis_lagotis,,,,,,,,,,300,550,290,390,200,290,200,278,1000,2500,800,1100,,,,,,,Terrestrial,Peramelemorph
Macrotis_leucura,,,,,,,,,,240,270,200,240,125,170,120,150,360,435,,,,,,,,311,Terrestrial,Peramelemorph
Perameles_bougainville,,,,,,,,,,179,226,173,222,81,100,84,106,168,280,170,302,201,202,91,93,212,218,Terrestrial,Peramelemorph
Perameles_gunnii,305,87,870,270,350,70,110,500,1450,,,,,,,,,,,,,,,,,,,Terrestrial,Peramelemorph
Perameles_nasuta,,,,310,445,120,160,520,1330,,,,,,,,,,,,,,,,,,,Terrestrial,Peramelemorph
