"Species","Bl_mm","Tl_mm","Wt_g","Bl_min","Bl_max","Tl_min","Tl_max","Wt_min","Wt_max","Bl_min_M","Bl_max_M","Bl_min_F","Bl_max_F","Tl_min_M","Tl_max_M","Tl_min_F","Tl_max_F","Wt_min_M","Wt_max_M","Wt_min_F","Wt_max_F","Bl_Av_M","Bl_Av_F","Tl_Av_M","Tl_Av_F","Wt_Av_M","Wt_Av_F","Locomotor_use","Clade"
"Petrogale_inornata",521,526,4600,454,570,430,640,3100,5600,507,570,454,560,490,640,430,560,3400,5600,3100,5000,535,507,548,504,5000,4200,"Saltatorial","Macropod"
"Petrogale_lateralis",485.5,532.5,4050,450,521,445,613,2800,5200,501,521,450,470,490,613,445,590,4100,5200,2800,4400,511,460,561,504,4700,3400,"Saltatorial","Macropod"
"Petrogale_mareeba",478,463.5,4150,425,548,415,530,NA,NA,425,548,425,500,420,530,415,467,NA,NA,NA,NA,485,471,486,441,4500,3800,"Saltatorial","Macropod"
"Petrogale_penicillata",546.5,587,7100,510,586,500,700,4900,10900,529,586,510,570,510,700,500,630,5500,10900,4900,8200,557,536,611,563,7900,6300,"Saltatorial","Macropod"
"Petrogale_persephone",563.5,612,6525,492,633,515,709,3500,10200,492,633,526,603,564,709,515,660,4300,10200,3500,8100,562.5,564.5,636.5,587.5,7250,5800,"Saltatorial","Macropod"
"Petrogale_purpureicollis",514.5,504,4500,389,609,445,580,2700,7100,389,609,465,552,488,580,445,538,3300,7100,2700,5700,532,497,534,474,5400,3600,"Saltatorial","Macropod"
"Petrogale_rothschildi",529.5,603,5100,463,592,539,704,3700,6600,532,592,463,526,580,704,539,613,5000,6600,3700,5300,559,500,636,570,6100,4100,"Saltatorial","Macropod"
"Petrogale_sharmani",488,490,4250,455,530,435,532,NA,NA,490,530,455,475,500,532,435,482,NA,NA,NA,NA,511,465,515,465,4400,4100,"Saltatorial","Macropod"
"Petrogale_xanthopus",600,690,9000,480,650,570,700,6000,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saltatorial","Macropod"
"Petropseudes_dahli",360.75,223.25,1640,334,385,200,266,1280,2000,334,375,349,385,200,220,207,266,NA,NA,NA,NA,354.5,367,210,236.5,NA,NA,"Arboreal","Petauroid"
"Phalanger_mimicus",375,315,1850,350,400,280,350,1500,2200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arboreal","Phalangeroid"
"Phascolarctos_cinereus",722.5,NA,8.025,648,820,NA,NA,4.1,14.9,674,820,648,730,NA,NA,NA,NA,4.2,14.9,4.1,11,743.5,701.5,NA,NA,9.25,6.8,"Arboreal","Vombatiform"
"Potorous_gilbertii",312.5,220,948.5,286,371,200,236,710,1200,286,371,291,343,215,232,200,236,845,1200,710,1095,312,313,224,216,985,912,"Saltatorial","Macropod"
"Potorous_longipes",400,320,1900,380,415,315,325,1600,2200,NA,NA,NA,NA,NA,NA,NA,NA,2000,2200,1600,1800,NA,NA,NA,NA,2100,1700,"Saltatorial","Macropod"
"Potorous_tridactylus",328.5,231.5,1100,259,410,198,262,660,1640,287,410,259,378,204,262,198,254,740,1640,660,1350,341,316,235,228,1180,1020,"Saltatorial","Macropod"
"Potorous_platyops",243,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saltatorial","Macropod"
